Ref,Val,Package,PosX,PosY,Rot,Side
C101,100nF/10V/0603,C_0603_1608Metric,11.260000,11.590000,0.000000,top
C102,100nF/10V/0603,C_0603_1608Metric,11.330000,23.190000,270.000000,top
C103,100nF/10V/0603,C_0603_1608Metric,17.760000,49.330000,180.000000,top
C104,100nF/10V/0603,C_0603_1608Metric,10.540000,16.360000,0.000000,top
C105,100nF/10V/0603,C_0603_1608Metric,17.220000,13.440000,180.000000,top
C201,100nF/10V/0603,C_0603_1608Metric,16.250000,23.250000,180.000000,top
C202,100nF/10V/0603,C_0603_1608Metric,16.300000,47.740000,180.000000,top
C203,100nF/10V/0603,C_0603_1608Metric,16.290000,39.580000,180.000000,top
C204,100nF/10V/0603,C_0603_1608Metric,16.280000,31.410000,180.000000,top
D101,SZNUP2105L,SOT-23,7.420000,42.680000,0.000000,top
R101,0Ω/1%/0603,R_0603_1608Metric,11.490000,50.860000,180.000000,top
R102,0Ω/1%/0603,R_0603_1608Metric,14.730000,50.860000,180.000000,top
R103,1kΩ/1%/0603,R_0603_1608Metric,31.470000,35.450000,180.000000,top
R104,1kΩ/1%/0603,R_0603_1608Metric,28.460000,35.450000,0.000000,top
R105,1kΩ/1%/0603,R_0603_1608Metric,20.740000,4.810000,180.000000,top
R106,1kΩ/1%/0603,R_0603_1608Metric,17.740000,4.810000,0.000000,top
R107,10kΩ/1%/0603,R_0603_1608Metric,8.410000,50.390000,0.000000,top
R110,390Ω/1%/0603,R_0603_1608Metric,7.210000,40.140000,180.000000,top
R111,10Ω/1%/0603,R_0603_1608Metric,3.480000,20.290000,180.000000,top
R112,"3,9kΩ/1%/0603",R_0603_1608Metric,20.800000,50.860000,0.000000,top
R113,10kΩ/1%/0603,R_0603_1608Metric,10.540000,25.460000,180.000000,top
R114,"7,5kΩ/1%/0603",R_0603_1608Metric,17.760000,50.860000,180.000000,top
R115,220Ω/1%/0603,R_0603_1608Metric,4.820000,42.680000,90.000000,top
R116,10Ω/1%/0603,R_0603_1608Metric,12.220000,20.300000,0.000000,top
R117,390Ω/1%/0603,R_0603_1608Metric,7.200000,45.210000,0.000000,top
R118,10kΩ/1%/0603,R_0603_1608Metric,7.062499,25.460000,180.000000,top
R119,"3,9kΩ/1%/0603",R_0603_1608Metric,20.260000,14.980000,0.000000,top
R120,"7,5kΩ/1%/0603",R_0603_1608Metric,17.220000,14.980000,180.000000,top
R201,"4,7kΩ/1%/0603",R_0603_1608Metric,19.300000,16.620000,0.000000,top
R202,10kΩ/1%/0603,R_0603_1608Metric,6.480000,9.540001,0.000000,top
R203,10kΩ/1%/0603,R_0603_1608Metric,6.480000,11.089999,0.000000,top
R204,10kΩ/1%/0603,R_0603_1608Metric,18.820000,10.339999,180.000000,top
R205,10kΩ/1%/0603,R_0603_1608Metric,18.820000,8.790001,180.000000,top
R206,47kΩ/1%/0603,R_0603_1608Metric,16.260000,16.620000,0.000000,top
R207,"4,7MΩ/1%/0603",R_0603_1608Metric,6.480000,7.989999,180.000000,top
R208,"4,7MΩ/1%/0603",R_0603_1608Metric,6.480000,12.640001,180.000000,top
R209,1kΩ/1%/0603,R_0603_1608Metric,19.300000,23.250000,180.000000,top
R210,"4,7MΩ/1%/0603",R_0603_1608Metric,18.820000,11.890001,0.000000,top
R211,"4,7MΩ/1%/0603",R_0603_1608Metric,18.820000,7.239999,0.000000,top
R212,"4,7kΩ/1%/0603",R_0603_1608Metric,19.320000,41.140000,0.000000,top
R213,47kΩ/1%/0603,R_0603_1608Metric,16.290000,41.140000,0.000000,top
R214,1kΩ/1%/0603,R_0603_1608Metric,19.330000,47.740000,180.000000,top
R215,"4,7kΩ/1%/0603",R_0603_1608Metric,19.330000,32.960000,0.000000,top
R216,47kΩ/1%/0603,R_0603_1608Metric,16.290000,32.960000,0.000000,top
R217,1kΩ/1%/0603,R_0603_1608Metric,19.330000,39.580000,180.000000,top
R218,"4,7kΩ/1%/0603",R_0603_1608Metric,19.320000,24.790000,0.000000,top
R219,47kΩ/1%/0603,R_0603_1608Metric,16.280000,24.790000,0.000000,top
R220,1kΩ/1%/0603,R_0603_1608Metric,19.320000,31.410000,180.000000,top
RV201,22kΩ/20%,Potentiometer_Bourns_3314J_Vertical,18.090000,19.930000,270.000000,top
RV202,22kΩ/20%,Potentiometer_Bourns_3314J_Vertical,18.110000,44.440000,270.000000,top
RV203,22kΩ/20%,Potentiometer_Bourns_3314J_Vertical,18.110000,36.270000,270.000000,top
RV204,22kΩ/20%,Potentiometer_Bourns_3314J_Vertical,18.110000,28.100000,270.000000,top
U102,SM9333-BCE-S-125-000,SOIC-16W_7.5x10.3mm_P1.27mm,27.420000,28.000000,90.000000,top
U201,MAX9095AUD+T,TSSOP-14_4.4x5mm_P0.65mm,12.190000,7.990000,0.000000,top
